A,B,C,D,E,F,Label
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
2009,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
1982,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,double-tap
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,2131,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,2087,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,double-tap
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,1989,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,1992,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,double-tap
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,2062,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,2011,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,double-tap
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,2029,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,2033,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,double-tap
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,2210,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,2167,none
0,0,0,0,0,0,none
0,0,0,0,0,0,none
0,0,0,0,0,0,double-tap
