A, B, C, D, E, F, Label
0, 0, 0, 0, 0, 0, None
0, 0, 0, 976, 0, 0, None
0, 0, 0, 3879, 0, 0, None
0, 0, 0, 4095, 0, 0, None
1532, 1502, 1498, 4095, 0, 0, None
4095, 4095, 4095, 1203, 0, 0, Swipe-horizontal-to-left
2107, 2389, 2230, 0, 0, 0, None
1109, 1167, 1133, 0, 2301, 0, None
0, 0, 0, 0, 4095, 0, None
0, 0, 0, 0, 766, 0, None
0, 0, 0, 0, 0, 0, None
0, 0, 0, 0, 0, 0, None
0, 0, 0, 0, 798, 0, None
0, 0, 0, 0, 4095, 0, None
1062, 1098, 1100, 0, 2997, 0, None
2001, 2408, 2376, 0, 0, 0, None
4095, 4095, 4095, 1041, 0, 0, Swipe-horizontal-to-right
1396, 1529, 1478, 4095, 0, 0, None
0, 0, 0, 4095, 0, 0, None
0, 0, 0, 3604, 0, 0, None
0, 0, 0, 1012, 0, 0, None
0, 0, 0, 0, 0, 0, None
