A,B,C,D,E,F,Label
0,0,0,0,0,0,none
0,0,0,976,0,0,none
0,0,0,3879,0,0,none
0,0,0,4095,0,0,none
1532,1502,1498,4095,0,0,none
4095,4095,4095,1203,0,0,none
2107,2389,2230,0,0,0,none
1109,1167,1133,0,2301,0,none
0,0,0,0,4095,0,none
0,0,0,0,766,0,none
0,0,0,0,0,0,swipe-horizontal-leftward
0,0,0,0,0,0,none
0,0,0,0,798,0,none
0,0,0,0,4095,0,none
1062,1098,1100,0,2997,0,none
2001,2408,2376,0,0,0,none
4095,4095,4095,1041,0,0,none
1396,1529,1478,4095,0,0,none
0,0,0,4095,0,0,none
0,0,0,3604,0,0,none
0,0,0,1012,0,0,none
0,0,0,0,0,0,swipe-horizontal-rightward
